customer_id,customer_name,city,signup_date,acquisition_channel
C00001,Customer_1,Luton,2025-08-08,Referral
C00002,Customer_2,Bristol,2026-01-26,Google Ads
C00003,Customer_3,Birmingham,2025-06-12,Google Ads
C00004,Customer_4,Manchester,2026-03-15,Organic
C00005,Customer_5,London,2025-08-08,Email
C00006,Customer_6,London,2025-09-27,Organic
C00007,Customer_7,London,2025-04-30,Referral
C00008,Customer_8,Leeds,2026-01-29,Google Ads
C00009,Customer_9,Manchester,2025-12-02,Organic
C00010,Customer_10,Birmingham,2026-02-04,Referral
C00011,Customer_11,London,2025-07-01,Google Ads
C00012,Customer_12,Bristol,2025-04-16,Referral
C00013,Customer_13,Leeds,2025-08-05,Email
C00014,Customer_14,London,2025-07-24,Referral
C00015,Customer_15,London,2025-03-11,Organic
C00016,Customer_16,London,2025-02-13,Referral
C00017,Customer_17,London,2025-11-25,Google Ads
C00018,Customer_18,Manchester,2025-10-28,Referral
C00019,Customer_19,Luton,2025-08-16,Instagram
C00020,Customer_20,London,2025-07-03,Referral
C00021,Customer_21,Manchester,2025-04-17,Google Ads
C00022,Customer_22,London,2025-03-25,Google Ads
C00023,Customer_23,London,2025-12-04,Organic
C00024,Customer_24,Luton,2025-09-07,Referral
C00025,Customer_25,Manchester,2025-12-29,Google Ads
C00026,Customer_26,Leeds,2026-03-17,Google Ads
C00027,Customer_27,London,2025-01-21,Referral
C00028,Customer_28,Manchester,2025-07-15,Instagram
C00029,Customer_29,Manchester,2025-06-27,Organic
C00030,Customer_30,London,2026-02-21,Instagram
C00031,Customer_31,Manchester,2025-01-07,Google Ads
C00032,Customer_32,London,2025-03-11,Google Ads
C00033,Customer_33,London,2025-05-07,Organic
C00034,Customer_34,Bristol,2026-02-03,Organic
C00035,Customer_35,Bristol,2025-06-09,Organic
C00036,Customer_36,Leeds,2025-09-05,Instagram
C00037,Customer_37,London,2025-07-22,Organic
C00038,Customer_38,London,2025-05-28,Google Ads
C00039,Customer_39,Birmingham,2025-05-23,Email
C00040,Customer_40,Luton,2026-03-08,Organic
C00041,Customer_41,London,2025-07-18,Google Ads
C00042,Customer_42,Manchester,2026-02-09,Referral
C00043,Customer_43,London,2026-03-02,Email
C00044,Customer_44,Bristol,2025-06-03,Instagram
C00045,Customer_45,London,2026-01-11,Instagram
C00046,Customer_46,Birmingham,2026-01-19,Referral
C00047,Customer_47,London,2025-05-22,Google Ads
C00048,Customer_48,Manchester,2025-11-09,Referral
C00049,Customer_49,Manchester,2025-06-14,Organic
C00050,Customer_50,London,2025-11-10,Email
C00051,Customer_51,Bristol,2025-01-21,Google Ads
C00052,Customer_52,Leeds,2025-03-23,Instagram
C00053,Customer_53,Bristol,2025-03-10,Organic
C00054,Customer_54,Leeds,2025-05-11,Instagram
C00055,Customer_55,Manchester,2025-03-28,Organic
C00056,Customer_56,Bristol,2025-08-06,Referral
C00057,Customer_57,London,2026-02-25,Referral
C00058,Customer_58,London,2025-11-01,Organic
C00059,Customer_59,London,2026-02-07,Referral
C00060,Customer_60,London,2026-01-06,Referral
C00061,Customer_61,Luton,2025-12-11,Instagram
C00062,Customer_62,London,2025-12-07,Google Ads
C00063,Customer_63,Leeds,2026-01-19,Organic
C00064,Customer_64,Luton,2026-01-31,Organic
C00065,Customer_65,London,2026-03-21,Google Ads
C00066,Customer_66,Manchester,2026-03-01,Email
C00067,Customer_67,London,2025-06-10,Organic
C00068,Customer_68,Leeds,2025-06-27,Referral
C00069,Customer_69,London,2025-04-27,Google Ads
C00070,Customer_70,Bristol,2025-07-15,Google Ads
C00071,Customer_71,Leeds,2026-01-18,Referral
C00072,Customer_72,London,2025-11-23,Referral
C00073,Customer_73,London,2025-03-27,Google Ads
C00074,Customer_74,Leeds,2025-10-16,Google Ads
C00075,Customer_75,Birmingham,2025-03-22,Google Ads
C00076,Customer_76,Birmingham,2025-06-01,Organic
C00077,Customer_77,Leeds,2025-03-02,Organic
C00078,Customer_78,London,2025-03-02,Google Ads
C00079,Customer_79,Luton,2025-12-20,Google Ads
C00080,Customer_80,London,2025-01-28,Instagram
C00081,Customer_81,Leeds,2026-03-18,Google Ads
C00082,Customer_82,Birmingham,2025-02-12,Google Ads
C00083,Customer_83,London,2025-06-18,Google Ads
C00084,Customer_84,London,2026-02-27,Instagram
C00085,Customer_85,London,2025-03-27,Referral
