delivery_id,order_id,promised_date,delivery_date,delay_days,delivery_status
D000001,O000003,2026-03-22,2026-03-22,0,On Time
D000002,O000004,2026-07-28,2026-07-29,1,Late
D000003,O000005,2025-10-21,2025-10-21,0,On Time
D000004,O000006,2026-03-24,2026-03-31,7,Late
D000005,O000007,2026-03-05,2026-03-10,5,Late
D000006,O000009,2026-05-27,2026-05-27,0,On Time
D000007,O000010,2026-03-16,2026-03-16,0,On Time
D000008,O000011,2026-04-25,2026-04-25,0,On Time
D000009,O000012,2026-04-22,2026-04-22,0,On Time
D000010,O000013,2026-04-08,2026-04-07,0,On Time
D000011,O000014,2026-03-22,2026-03-21,0,On Time
D000012,O000015,2025-12-31,2025-12-31,0,On Time
D000013,O000016,2026-05-28,2026-05-30,2,Late
D000014,O000017,2026-04-22,2026-04-22,0,On Time
D000015,O000018,2026-05-06,2026-05-05,0,On Time
D000016,O000019,2026-06-04,2026-06-04,0,On Time
D000017,O000020,2025-09-28,2025-09-28,0,On Time
D000018,O000021,2026-01-07,2026-01-07,0,On Time
D000019,O000022,2025-12-13,2025-12-17,4,Late
D000020,O000023,2026-04-17,2026-04-17,0,On Time
D000021,O000024,2025-10-01,2025-10-01,0,On Time
D000022,O000025,2026-04-28,2026-04-28,0,On Time
D000023,O000026,2026-07-25,2026-07-24,0,On Time
D000024,O000027,2025-09-17,2025-09-17,0,On Time
D000025,O000028,2025-08-10,2025-08-16,6,Late
D000026,O000029,2025-11-19,2025-11-19,0,On Time
D000027,O000030,2026-03-04,2026-03-04,0,On Time
D000028,O000031,2026-06-14,2026-06-14,0,On Time
D000029,O000032,2025-12-23,2025-12-23,0,On Time
D000030,O000033,2026-07-14,2026-07-21,7,Late
D000031,O000034,2026-04-01,2026-04-01,0,On Time
D000032,O000035,2026-07-10,2026-07-16,6,Late
D000033,O000036,2025-04-08,2025-04-08,0,On Time
D000034,O000037,2025-08-30,2025-09-02,3,Late
D000035,O000038,2025-12-10,2025-12-13,3,Late
D000036,O000039,2026-07-01,2026-07-01,0,On Time
D000037,O000040,2026-01-24,2026-01-23,0,On Time
D000038,O000041,2025-05-16,2025-05-16,0,On Time
D000039,O000042,2026-01-10,2026-01-10,0,On Time
D000040,O000043,2026-01-18,2026-01-18,0,On Time
D000041,O000044,2026-07-23,2026-07-23,0,On Time
D000042,O000045,2025-10-18,2025-10-23,5,Late
