marketing_id,month,channel,marketing_spend,customers_acquired,customer_acquisition_cost
M00001,2025-01-01,Organic,1398.14,156,8.96
M00002,2025-01-01,Google Ads,18707.52,455,41.12
M00003,2025-01-01,Instagram,15843.85,259,61.17
M00004,2025-01-01,Referral,4934.68,301,16.39
M00005,2025-01-01,Email,3511.13,273,12.86
M00006,2025-02-01,Organic,1621.1,225,7.2
M00007,2025-02-01,Google Ads,18956.31,406,46.69
M00008,2025-02-01,Instagram,14589.27,264,55.26
M00009,2025-02-01,Referral,5505.28,270,20.39
M00010,2025-02-01,Email,3844.04,280,13.73
M00011,2025-03-01,Organic,1656.86,209,7.93
M00012,2025-03-01,Google Ads,19571.25,502,38.99
M00013,2025-03-01,Instagram,14531.46,252,57.66
M00014,2025-03-01,Referral,4842.2,239,20.26
M00015,2025-03-01,Email,3813.57,320,11.92
M00016,2025-04-01,Organic,1522.82,183,8.32
M00017,2025-04-01,Google Ads,16314.34,356,45.83
M00018,2025-04-01,Instagram,15723.2,316,49.76
M00019,2025-04-01,Referral,5066.27,281,18.03
M00020,2025-04-01,Email,3391.79,284,11.94
M00021,2025-05-01,Organic,1620.47,195,8.31
M00022,2025-05-01,Google Ads,20077.46,530,37.88
M00023,2025-05-01,Instagram,15410.61,253,60.91
M00024,2025-05-01,Referral,4833.95,249,19.41
M00025,2025-05-01,Email,3426.89,274,12.51
M00026,2025-06-01,Organic,1648.27,216,7.63
M00027,2025-06-01,Google Ads,16878.72,384,43.95
M00028,2025-06-01,Instagram,13918.91,252,55.23
M00029,2025-06-01,Referral,5463.06,275,19.87
M00030,2025-06-01,Email,3400.39,258,13.18
M00031,2025-07-01,Organic,1577.05,215,7.34
M00032,2025-07-01,Google Ads,19642.22,439,44.74
M00033,2025-07-01,Instagram,12021.73,232,51.82
M00034,2025-07-01,Referral,5554.91,329,16.88
M00035,2025-07-01,Email,3090.97,241,12.83
M00036,2025-08-01,Organic,1403.94,181,7.76
M00037,2025-08-01,Google Ads,15655.99,394,39.74
M00038,2025-08-01,Instagram,13219.33,235,56.25
M00039,2025-08-01,Referral,5143.1,253,20.33
M00040,2025-08-01,Email,3493.91,274,12.75
M00041,2025-09-01,Organic,1494.87,195,7.67
M00042,2025-09-01,Google Ads,15397.56,369,41.73
M00043,2025-09-01,Instagram,14778.63,260,56.84
M00044,2025-09-01,Referral,5535.94,277,19.99
M00045,2025-09-01,Email,3111.52,265,11.74
M00046,2025-10-01,Organic,1620.47,206,7.87
M00047,2025-10-01,Google Ads,17493.03,415,42.15
M00048,2025-10-01,Instagram,14739.03,297,49.63
M00049,2025-10-01,Referral,5051.0,288,17.54
M00050,2025-10-01,Email,3265.56,300,10.89
M00051,2025-11-01,Organic,1442.37,185,7.8
M00052,2025-11-01,Google Ads,20357.0,494,41.21
M00053,2025-11-01,Instagram,15609.89,259,60.27
M00054,2025-11-01,Referral,5513.24,276,19.98
M00055,2025-11-01,Email,3732.79,288,12.96
M00056,2025-12-01,Organic,1629.57,179,9.1
M00057,2025-12-01,Google Ads,17373.13,410,42.37
M00058,2025-12-01,Instagram,14293.0,248,57.63
M00059,2025-12-01,Referral,5034.46,290,17.36
M00060,2025-12-01,Email,3590.66,293,12.25
M00061,2026-01-01,Organic,1483.48,196,7.57
M00062,2026-01-01,Google Ads,17949.11,382,46.99
M00063,2026-01-01,Instagram,15862.32,273,58.1
M00064,2026-01-01,Referral,5240.61,270,19.41
M00065,2026-01-01,Email,3088.27,270,11.44
M00066,2026-02-01,Organic,1327.39,154,8.62
M00067,2026-02-01,Google Ads,19609.57,456,43.0
M00068,2026-02-01,Instagram,14181.78,233,60.87
M00069,2026-02-01,Referral,5290.66,281,18.83
M00070,2026-02-01,Email,3759.85,289,13.01
M00071,2026-03-01,Organic,1415.53,175,8.09
M00072,2026-03-01,Google Ads,19234.79,401,47.97
M00073,2026-03-01,Instagram,13913.2,278,50.05
M00074,2026-03-01,Referral,4276.95,218,19.62
M00075,2026-03-01,Email,3068.49,278,11.04
M00076,2026-04-01,Organic,1358.97,167,8.14
M00077,2026-04-01,Google Ads,16004.42,408,39.23
M00078,2026-04-01,Instagram,15507.35,251,61.78
M00079,2026-04-01,Referral,5669.67,284,19.96
M00080,2026-04-01,Email,3340.64,242,13.8
M00081,2026-05-01,Organic,1483.87,162,9.16
M00082,2026-05-01,Google Ads,19487.47,463,42.09
M00083,2026-05-01,Instagram,13668.17,267,51.19
M00084,2026-05-01,Referral,5115.28,298,17.17
M00085,2026-05-01,Email,3828.21,347,11.03
M00086,2026-06-01,Organic,1539.99,203,7.59
M00087,2026-06-01,Google Ads,19744.39,492,40.13
M00088,2026-06-01,Instagram,12797.29,252,50.78
M00089,2026-06-01,Referral,4931.52,256,19.26
M00090,2026-06-01,Email,3711.54,318,11.67
M00091,2026-07-01,Organic,1410.33,185,7.62
M00092,2026-07-01,Google Ads,15405.7,405,38.04
M00093,2026-07-01,Instagram,13283.69,247,53.78
M00094,2026-07-01,Referral,4720.49,262,18.02
M00095,2026-07-01,Email,3246.38,247,13.14
M00096,2026-08-01,Organic,1590.82,200,7.95
M00097,2026-08-01,Google Ads,20276.52,438,46.29
M00098,2026-08-01,Instagram,12754.78,204,62.52
M00099,2026-08-01,Referral,4712.74,281,16.77
M00100,2026-08-01,Email,3401.13,306,11.11
