order_item_id,order_id,product_id,quantity
OI0000001,O000001,P0075,1
OI0000002,O000001,P0267,1
OI0000003,O000002,P0266,1
OI0000004,O000003,P0041,3
OI0000005,O000003,P0066,1
OI0000006,O000004,P0228,1
OI0000007,O000005,P0106,1
OI0000008,O000005,P0142,1
OI0000009,O000005,P0198,3
OI0000010,O000006,P0270,2
OI0000011,O000006,P0159,1
OI0000012,O000007,P0037,1
OI0000013,O000007,P0285,3
OI0000014,O000007,P0169,3
OI0000015,O000007,P0141,1
OI0000016,O000008,P0060,1
OI0000017,O000009,P0241,1
OI0000018,O000010,P0195,1
OI0000019,O000011,P0213,2
OI0000020,O000012,P0167,3
OI0000021,O000012,P0072,1
OI0000022,O000013,P0295,1
OI0000023,O000014,P0295,1
OI0000024,O000014,P0267,1
OI0000025,O000014,P0180,1
OI0000026,O000015,P0003,1
OI0000027,O000016,P0295,1
OI0000028,O000016,P0049,1
OI0000029,O000016,P0238,1
OI0000030,O000017,P0189,1
OI0000031,O000018,P0220,1
OI0000032,O000018,P0018,1
OI0000033,O000019,P0065,2
OI0000034,O000019,P0151,1
OI0000035,O000020,P0121,2
OI0000036,O000020,P0232,2
OI0000037,O000021,P0136,1
OI0000038,O000022,P0232,1
OI0000039,O000022,P0128,1
OI0000040,O000022,P0208,2
OI0000041,O000023,P0221,1
OI0000042,O000023,P0162,2
OI0000043,O000024,P0281,1
OI0000044,O000024,P0014,2
OI0000045,O000025,P0094,1
OI0000046,O000026,P0205,2
OI0000047,O000026,P0092,1
OI0000048,O000026,P0051,1
OI0000049,O000027,P0035,1
OI0000050,O000028,P0182,1
OI0000051,O000028,P0201,1
OI0000052,O000028,P0031,1
OI0000053,O000029,P0243,3
OI0000054,O000030,P0039,1
OI0000055,O000031,P0129,2
OI0000056,O000031,P0158,1
OI0000057,O000031,P0200,2
OI0000058,O000031,P0184,2
OI0000059,O000032,P0228,1
OI0000060,O000032,P0296,1
OI0000061,O000033,P0151,1
OI0000062,O000033,P0296,1
OI0000063,O000033,P0295,1
OI0000064,O000034,P0056,1
OI0000065,O000034,P0143,1
OI0000066,O000034,P0250,1
OI0000067,O000035,P0206,1
OI0000068,O000035,P0235,1
OI0000069,O000035,P0075,1
OI0000070,O000036,P0221,1
OI0000071,O000036,P0196,1
OI0000072,O000036,P0291,1
OI0000073,O000037,P0133,2
OI0000074,O000038,P0192,1
OI0000075,O000038,P0060,2
OI0000076,O000039,P0090,1
OI0000077,O000039,P0115,1
OI0000078,O000039,P0044,3
OI0000079,O000040,P0114,1
OI0000080,O000040,P0139,2
OI0000081,O000041,P0075,2
OI0000082,O000041,P0213,1
OI0000083,O000042,P0282,1
OI0000084,O000042,P0252,1
OI0000085,O000043,P0157,2
OI0000086,O000043,P0221,3
OI0000087,O000043,P0248,2
OI0000088,O000043,P0042,1
OI0000089,O000044,P0202,3
OI0000090,O000044,P0177,2
OI0000091,O000044,P0211,1
OI0000092,O000044,P0285,1
OI0000093,O000045,P0060,1
OI0000094,O000045,P0216,2
OI0000095,O000046,P0237,3
OI0000096,O000046,P0160,1
OI0000097,O000046,P0181,1
OI0000098,O000047,P0038,1
OI0000099,O000047,P0005,1
OI0000100,O000047,P0088,1
OI0000101,O000047,P0053,2
OI0000102,O000048,P0122,2
OI0000103,O000049,P0042,1
OI0000104,O000050,P0042,1
OI0000105,O000051,P0047,1
OI0000106,O000051,P0023,1
OI0000107,O000052,P0206,1
OI0000108,O000052,P0062,1
OI0000109,O000053,P0040,1
OI0000110,O000053,P0271,2
OI0000111,O000053,P0238,1
OI0000112,O000053,P0113,1
OI0000113,O000054,P0192,1
OI0000114,O000055,P0297,1
OI0000115,O000055,P0154,3
OI0000116,O000055,P0260,2
OI0000117,O000056,P0088,1
OI0000118,O000056,P0295,1
OI0000119,O000057,P0214,1
OI0000120,O000058,P0013,1
OI0000121,O000059,P0046,1
OI0000122,O000060,P0171,1
OI0000123,O000060,P0257,1
OI0000124,O000060,P0075,1
OI0000125,O000061,P0021,1
OI0000126,O000061,P0277,1
OI0000127,O000062,P0236,1
