order_id,customer_id,order_date,status,discount_amount
O000001,C00064,2026-02-01,Cancelled,0
O000002,C01567,2026-06-19,Cancelled,5
O000003,C00506,2026-03-18,Completed,15
O000004,C01461,2026-07-25,Completed,15
O000005,C01429,2025-10-17,Completed,20
O000006,C01024,2026-03-22,Completed,5
O000007,C00639,2026-03-01,Completed,0
O000008,C00231,2025-11-02,Cancelled,5
O000009,C00069,2026-05-24,Completed,20
O000010,C01371,2026-03-13,Completed,30
O000011,C01198,2026-04-22,Completed,30
O000012,C01547,2026-04-19,Completed,0
O000013,C00539,2026-04-04,Completed,0
O000014,C01082,2026-03-19,Completed,5
O000015,C01279,2025-12-27,Completed,0
O000016,C01410,2026-05-25,Completed,15
O000017,C01347,2026-04-17,Completed,5
O000018,C00915,2026-05-03,Completed,10
O000019,C01315,2026-05-31,Completed,15
O000020,C01895,2025-09-26,Completed,0
O000021,C01916,2026-01-04,Completed,5
O000022,C00200,2025-12-10,Completed,5
O000023,C01522,2026-04-14,Completed,5
O000024,C00551,2025-09-28,Completed,0
O000025,C00728,2026-04-25,Completed,20
O000026,C01522,2026-07-22,Completed,0
O000027,C00507,2025-09-12,Completed,0
O000028,C00214,2025-08-07,Completed,10
O000029,C01329,2025-11-16,Completed,20
O000030,C00060,2026-03-01,Completed,5
O000031,C01565,2026-06-12,Completed,20
O000032,C01825,2025-12-20,Completed,0
O000033,C01003,2026-07-10,Completed,5
O000034,C01717,2026-03-30,Completed,0
O000035,C00446,2026-07-06,Completed,5
O000036,C01725,2025-04-04,Completed,20
O000037,C01656,2025-08-27,Completed,5
O000038,C00842,2025-12-07,Completed,15
O000039,C01424,2026-06-28,Completed,0
O000040,C01763,2026-01-21,Completed,10
O000041,C01777,2025-05-13,Completed,30
O000042,C01809,2026-01-06,Completed,0
O000043,C00404,2026-01-14,Completed,0
O000044,C00829,2026-07-20,Completed,5
O000045,C00993,2025-10-15,Completed,10
O000046,C00226,2026-08-15,Completed,0
O000047,C01934,2025-12-13,Completed,0
O000048,C01567,2026-04-24,Completed,20
O000049,C00273,2026-07-14,Completed,5
O000050,C00496,2025-10-18,Cancelled,20
O000051,C00025,2026-07-03,Completed,20
O000052,C01938,2025-11-15,Completed,10
O000053,C00320,2026-04-15,Completed,0
O000054,C01491,2026-05-19,Completed,0
O000055,C01983,2026-03-20,Completed,15
O000056,C00100,2026-02-20,Completed,0
O000057,C00939,2026-01-17,Completed,0
O000058,C01643,2026-07-12,Completed,0
O000059,C00244,2026-05-28,Completed,10
O000060,C00059,2026-05-07,Completed,5
O000061,C01730,2025-11-07,Completed,15
O000062,C01298,2026-07-29,Completed,0
O000063,C01738,2026-05-28,Completed,20
O000064,C01484,2026-04-15,Completed,0
O000065,C01436,2025-09-18,Completed,0
O000066,C01195,2025-09-06,Completed,0
O000067,C01724,2026-06-18,Completed,0
O000068,C01165,2025-03-25,Completed,0
O000069,C00521,2026-05-04,Completed,30
O000070,C01978,2026-07-31,Completed,0
O000071,C00512,2026-05-27,Completed,15
O000072,C00214,2025-03-19,Completed,20
O000073,C01858,2026-02-27,Completed,10
O000074,C01504,2025-09-05,Completed,0
O000075,C01182,2026-06-19,Completed,0
O000076,C01912,2025-10-31,Cancelled,0
O000077,C00975,2026-07-11,Completed,10
O000078,C00274,2025-08-11,Cancelled,0
O000079,C01000,2026-01-27,Completed,0
O000080,C01931,2026-06-05,Cancelled,0
O000081,C01820,2026-06-10,Completed,0
O000082,C00280,2026-03-25,Completed,5
O000083,C01480,2026-04-25,Completed,5
O000084,C01329,2026-06-12,Completed,0
O000085,C00687,2026-02-03,Completed,0
O000086,C00639,2025-12-15,Completed,15
O000087,C01535,2025-11-30,Cancelled,0
O000088,C01388,2025-06-30,Completed,5
O000089,C01221,2026-03-09,Completed,5
O000090,C00250,2026-08-04,Completed,0
O000091,C00872,2026-04-18,Completed,5
O000092,C00455,2026-06-23,Completed,0
O000093,C00521,2026-02-20,Completed,5
O000094,C00173,2026-06-14,Completed,0
O000095,C00793,2026-05-26,Completed,20
O000096,C01563,2026-05-30,Completed,0
O000097,C01171,2025-12-20,Completed,20
O000098,C01742,2026-03-08,Completed,0
O000099,C01795,2025-06-12,Completed,5
O000100,C00716,2026-07-09,Completed,0
O000101,C01245,2026-05-19,Completed,10
O000102,C01373,2025-08-18,Cancelled,15
O000103,C00712,2026-04-27,Completed,10
O000104,C01030,2025-09-23,Completed,5
O000105,C01504,2025-09-25,Completed,0
O000106,C00510,2025-06-30,Completed,0
O000107,C00776,2025-11-30,Completed,0
O000108,C00087,2026-03-11,Completed,30
O000109,C01334,2025-09-28,Completed,10
O000110,C00702,2025-12-10,Completed,5
O000111,C01712,2025-03-13,Completed,0
O000112,C01326,2026-03-25,Completed,10
O000113,C00348,2026-08-06,Completed,5
O000114,C00273,2025-11-19,Completed,5
O000115,C00976,2025-03-21,Completed,0
O000116,C01229,2026-07-29,Completed,0
O000117,C01798,2025-06-13,Completed,5
O000118,C00825,2026-08-02,Completed,0
O000119,C00369,2025-12-08,Completed,5
O000120,C00921,2026-04-19,Completed,0
O000121,C00630,2025-11-14,Completed,5
O000122,C00999,2026-05-20,Completed,0
O000123,C00900,2026-01-16,Completed,10
O000124,C01204,2026-04-03,Completed,10
O000125,C01844,2025-10-25,Completed,20
O000126,C01464,2026-03-10,Completed,10
O000127,C00396,2025-11-22,Completed,0
O000128,C00874,2026-04-17,Completed,30
O000129,C00233,2026-04-26,Completed,20
O000130,C01316,2026-01-05,Completed,5
O000131,C00141,2026-06-23,Completed,5
O000132,C01947,2026-05-24,Completed,0
O000133,C01300,2025-10-29,Completed,10
O000134,C01992,2025-12-27,Completed,20
O000135,C01357,2025-07-25,Cancelled,10
O000136,C01914,2026-07-09,Completed,0
O000137,C01323,2026-03-24,Completed,10
O000138,C00839,2026-01-11,Completed,30
O000139,C01143,2026-01-18,Completed,0
O000140,C00603,2026-02-05,Cancelled,10
O000141,C01904,2025-10-12,Completed,5
O000142,C01431,2026-03-31,Completed,5
O000143,C00254,2026-06-25,Completed,20
O000144,C01555,2026-08-19,Completed,0
O000145,C01205,2026-02-11,Completed,15
O000146,C01468,2026-05-19,Completed,0
O000147,C01959,2026-03-14,Completed,15
O000148,C00975,2026-08-01,Completed,0
O000149,C00116,2025-12-20,Completed,0
O000150,C01273,2026-05-31,Completed,5
O000151,C00894,2026-04-06,Completed,0
O000152,C00394,2026-04-14,Completed,5
O000153,C00582,2026-07-31,Completed,10
O000154,C01723,2026-08-15,Completed,5
O000155,C01216,2026-02-09,Completed,10
O000156,C00039,2026-03-11,Cancelled,5
O000157,C01128,2025-09-18,Completed,0
O000158,C01058,2025-12-26,Completed,30
O000159,C00318,2025-11-21,Completed,20
O000160,C00701,2026-03-27,Completed,0
O000161,C01137,2025-09-01,Completed,10
O000162,C00827,2025-11-24,Completed,5
O000163,C00315,2025-06-29,Completed,15
O000164,C01930,2026-03-02,Cancelled,10
O000165,C00702,2026-01-02,Completed,20
O000166,C01768,2026-06-27,Completed,5
O000167,C01811,2026-04-02,Completed,5
O000168,C00083,2026-04-16,Completed,0
O000169,C00914,2025-11-12,Completed,0
O000170,C01773,2025-11-12,Completed,10
O000171,C00049,2025-11-24,Completed,5
O000172,C00311,2026-01-02,Completed,0
O000173,C00605,2026-03-01,Cancelled,10
O000174,C01816,2026-02-17,Completed,0
O000175,C01476,2025-09-10,Completed,20
O000176,C00229,2026-06-08,Completed,0
O000177,C01314,2026-07-14,Completed,0
O000178,C01726,2025-12-10,Cancelled,10
O000179,C00075,2025-10-03,Completed,0
O000180,C00016,2026-04-11,Cancelled,0
O000181,C00940,2025-08-24,Completed,15
O000182,C01101,2026-07-20,Completed,10
O000183,C00984,2026-02-12,Completed,5
O000184,C01730,2026-04-08,Cancelled,10
O000185,C01849,2026-03-06,Completed,0
O000186,C01993,2026-05-05,Completed,10
O000187,C01798,2026-08-02,Completed,15
O000188,C00449,2026-02-23,Completed,5
O000189,C01731,2026-03-28,Completed,0
O000190,C01902,2025-08-30,Completed,0
O000191,C00657,2026-01-14,Completed,10
O000192,C01878,2026-07-03,Completed,5
O000193,C00717,2025-06-30,Completed,5
O000194,C01975,2026-06-16,Completed,0
O000195,C00228,2026-05-07,Completed,0
O000196,C01808,2025-09-17,Completed,0
O000197,C01368,2026-07-30,Completed,20
O000198,C01660,2026-06-09,Completed,10
O000199,C01115,2026-07-07,Completed,0
O000200,C00411,2026-08-20,Completed,0
O000201,C01343,2026-01-08,Completed,15
O000202,C00462,2025-04-14,Completed,0
O000203,C00401,2026-03-13,Completed,5
O000204,C01876,2026-06-18,Completed,5
O000205,C00892,2026-06-28,Completed,15
O000206,C00155,2025-08-15,Completed,10
O000207,C00321,2026-08-03,Completed,5
O000208,C01689,2025-09-07,Completed,5
O000209,C01752,2025-09-12,Completed,5
O000210,C00739,2025-12-31,Cancelled,15
O000211,C01978,2026-08-20,Completed,10
O000212,C00551,2025-11-17,Completed,15
O000213,C01165,2025-06-10,Completed,20
O000214,C00713,2026-06-06,Completed,10
O000215,C01802,2026-01-19,Completed,10
O000216,C00811,2026-05-27,Completed,10
O000217,C01227,2025-06-10,Completed,0
O000218,C01010,2025-05-05,Completed,0
O000219,C01641,2025-10-27,Completed,5
O000220,C01067,2025-12-23,Completed,0
O000221,C00133,2025-10-23,Completed,10
O000222,C01922,2025-10-22,Completed,15
O000223,C00088,2026-02-25,Completed,0
O000224,C01106,2025-11-01,Completed,0
O000225,C01294,2026-05-24,Completed,0
O000226,C01887,2025-12-24,Completed,20
O000227,C00664,2026-06-20,Completed,10
O000228,C01774,2026-06-14,Completed,0
O000229,C01835,2026-06-30,Completed,10
O000230,C01319,2025-12-08,Completed,5
O000231,C01162,2025-10-13,Completed,15
O000232,C00554,2026-05-05,Completed,0
O000233,C00026,2026-07-09,Completed,5
O000234,C00106,2025-10-23,Completed,0
O000235,C00967,2026-07-26,Completed,0
O000236,C00110,2026-04-17,Completed,15
O000237,C00979,2026-06-27,Completed,0
O000238,C00905,2026-03-03,Completed,5
O000239,C00874,2026-03-29,Completed,0
O000240,C01072,2026-04-19,Completed,0
O000241,C00784,2026-04-15,Completed,20
O000242,C00165,2026-06-11,Completed,10
O000243,C00574,2026-05-03,Cancelled,0
O000244,C00798,2026-02-06,Completed,0
O000245,C00202,2026-05-23,Completed,0
O000246,C01613,2026-03-06,Completed,0
O000247,C01880,2026-05-31,Completed,0
O000248,C01225,2025-07-28,Completed,10
O000249,C00394,2025-11-23,Completed,10
O000250,C01807,2026-01-28,Completed,0
O000251,C01239,2025-08-14,Cancelled,0
O000252,C00987,2025-06-26,Completed,30
O000253,C01841,2025-11-02,Completed,0
O000254,C01311,2025-08-15,Completed,5
O000255,C00164,2026-08-13,Completed,10
O000256,C01572,2025-11-26,Completed,5
O000257,C01232,2026-08-14,Completed,10
O000258,C00742,2026-06-14,Cancelled,5
