payment_id,order_id,payment_method,payment_amount,payment_status
PAY000001,O000001,Card,167.96,Failed
PAY000002,O000002,Apple Pay,518.1,Failed
PAY000003,O000003,Apple Pay,1369.74,Paid
PAY000004,O000004,Google Pay,197.8,Paid
PAY000005,O000005,Card,1306.22,Paid
PAY000006,O000006,Card,952.96,Paid
PAY000007,O000007,Card,1610.97,Paid
PAY000008,O000008,Apple Pay,360.19,Failed
PAY000009,O000009,PayPal,461.38,Paid
PAY000010,O000010,Apple Pay,89.28,Paid
PAY000011,O000011,PayPal,0.0,Paid
PAY000012,O000012,Card,458.97,Paid
PAY000013,O000013,Card,253.65,Paid
PAY000014,O000014,Card,699.58,Paid
PAY000015,O000015,PayPal,336.18,Paid
PAY000016,O000016,Card,878.6,Paid
PAY000017,O000017,Card,296.4,Paid
PAY000018,O000018,Apple Pay,351.82,Paid
PAY000019,O000019,PayPal,799.63,Paid
PAY000020,O000020,Card,1478.82,Paid
PAY000021,O000021,PayPal,84.53,Paid
PAY000022,O000022,Google Pay,853.11,Paid
PAY000023,O000023,Apple Pay,885.85,Paid
PAY000024,O000024,Apple Pay,647.73,Paid
PAY000025,O000025,PayPal,221.32,Paid
PAY000026,O000026,PayPal,880.42,Paid
PAY000027,O000027,Google Pay,17.43,Paid
PAY000028,O000028,PayPal,1004.15,Paid
PAY000029,O000029,PayPal,1151.65,Paid
PAY000030,O000030,Google Pay,100.44,Paid
PAY000031,O000031,Card,2288.68,Paid
PAY000032,O000032,Apple Pay,309.12,Paid
PAY000033,O000033,Apple Pay,658.94,Paid
PAY000034,O000034,Apple Pay,713.68,Paid
PAY000035,O000035,Card,374.8,Paid
PAY000036,O000036,Card,1047.77,Paid
PAY000037,O000037,Card,408.5,Paid
PAY000038,O000038,Card,807.03,Paid
PAY000039,O000039,Card,646.44,Paid
PAY000040,O000040,PayPal,531.66,Paid
PAY000041,O000041,Card,21.96,Paid
PAY000042,O000042,Google Pay,416.68,Paid
PAY000043,O000043,Apple Pay,2580.23,Paid
PAY000044,O000044,Card,857.34,Paid
PAY000045,O000045,Apple Pay,567.93,Paid
PAY000046,O000046,Apple Pay,2185.29,Paid
PAY000047,O000047,Card,1310.74,Failed
PAY000048,O000048,Google Pay,142.66,Paid
