product_id,product_name,category,selling_price,cost_price
P0001,Product_1,Accessories,69.55,49
P0002,Product_2,Furniture,479.97,393
P0003,Product_3,Home,336.18,188
P0004,Product_4,Accessories,64.62,38
P0005,Product_5,Electronics,154.81,93
P0006,Product_6,Sports,60.97,34
P0007,Product_7,Home,151.4,87
P0008,Product_8,Sports,121.46,89
P0009,Product_9,Electronics,336.41,227
P0010,Product_10,Accessories,46.83,36
P0011,Product_11,Home,15.65,12
P0012,Product_12,Electronics,457.87,263
P0013,Product_13,Furniture,288.69,153
P0014,Product_14,Electronics,197.02,100
P0015,Product_15,Accessories,120.89,71
P0016,Product_16,Sports,127.99,95
P0017,Product_17,Sports,143.87,112
P0018,Product_18,Home,342.3,185
P0019,Product_19,Furniture,372.51,224
P0020,Product_20,Accessories,18.64,11
P0021,Product_21,Sports,58.41,32
P0022,Product_22,Sports,245.0,139
P0023,Product_23,Accessories,130.73,70
P0024,Product_24,Electronics,65.98,53
P0025,Product_25,Sports,282.29,157
P0026,Product_26,Electronics,526.59,280
P0027,Product_27,Accessories,131.46,92
P0028,Product_28,Home,44.52,26
P0029,Product_29,Home,88.53,61
P0030,Product_30,Furniture,418.84,213
P0031,Product_31,Sports,107.95,88
P0032,Product_32,Sports,259.56,156
P0033,Product_33,Home,40.0,30
P0034,Product_34,Electronics,129.19,73
P0035,Product_35,Home,17.43,13
P0036,Product_36,Sports,237.4,171
P0037,Product_37,Home,312.72,196
P0038,Product_38,Home,23.18,12
P0039,Product_39,Home,105.44,77
P0040,Product_40,Sports,157.85,120
P0041,Product_41,Electronics,392.16,217
P0042,Product_42,Sports,116.84,73
P0043,Product_43,Sports,104.19,54
P0044,Product_44,Electronics,138.32,105
P0045,Product_45,Furniture,321.03,187
P0046,Product_46,Sports,81.79,59
P0047,Product_47,Accessories,107.36,81
P0048,Product_48,Accessories,125.77,72
P0049,Product_49,Electronics,587.91,351
P0050,Product_50,Home,156.94,87
P0051,Product_51,Electronics,275.04,190
P0052,Product_52,Sports,271.16,174
P0053,Product_53,Furniture,519.81,341
P0054,Product_54,Home,51.67,26
P0055,Product_55,Electronics,672.45,469
P0056,Product_56,Sports,169.43,118
P0057,Product_57,Accessories,126.11,85
P0058,Product_58,Electronics,507.06,307
P0059,Product_59,Accessories,113.55,81
P0060,Product_60,Home,365.19,189
P0061,Product_61,Home,105.94,75
P0062,Product_62,Electronics,684.24,357
P0063,Product_63,Electronics,509.26,397
P0064,Product_64,Sports,70.74,41
P0065,Product_65,Sports,250.33,130
P0066,Product_66,Electronics,208.26,156
P0067,Product_67,Electronics,963.63,488
P0068,Product_68,Home,118.74,76
P0069,Product_69,Home,385.44,197
P0070,Product_70,Electronics,855.05,491
P0071,Product_71,Sports,229.16,159
P0072,Product_72,Sports,118.86,88
P0073,Product_73,Electronics,191.92,133
P0074,Product_74,Accessories,54.8,43
P0075,Product_75,Accessories,22.36,17
P0076,Product_76,Home,64.19,50
P0077,Product_77,Accessories,93.84,61
P0078,Product_78,Furniture,477.48,260
P0079,Product_79,Accessories,21.01,16
P0080,Product_80,Sports,41.74,32
P0081,Product_81,Furniture,341.23,199
P0082,Product_82,Furniture,184.65,136
P0083,Product_83,Electronics,113.75,89
P0084,Product_84,Electronics,564.06,423
P0085,Product_85,Sports,191.96,99
P0086,Product_86,Home,254.43,137
P0087,Product_87,Electronics,329.28,222
P0088,Product_88,Sports,93.13,54
P0089,Product_89,Sports,35.86,22
P0090,Product_90,Accessories,15.68,9
P0091,Product_91,Electronics,466.22,267
P0092,Product_92,Home,34.06,20
P0093,Product_93,Home,190.74,135
P0094,Product_94,Furniture,241.32,196
P0095,Product_95,Accessories,93.87,60
P0096,Product_96,Electronics,847.36,443
P0097,Product_97,Sports,206.95,125
P0098,Product_98,Accessories,70.9,38
P0099,Product_99,Electronics,231.22,116
P0100,Product_100,Sports,66.54,50
P0101,Product_101,Furniture,270.03,154
P0102,Product_102,Sports,156.55,90
P0103,Product_103,Home,148.8,75
P0104,Product_104,Electronics,236.63,119
P0105,Product_105,Accessories,78.72,45
P0106,Product_106,Furniture,138.09,99
P0107,Product_107,Accessories,112.17,61
P0108,Product_108,Sports,221.13,172
P0109,Product_109,Furniture,507.23,278
P0110,Product_110,Home,92.55,48
P0111,Product_111,Furniture,337.4,224
P0112,Product_112,Sports,109.09,64
P0113,Product_113,Furniture,262.5,170
P0114,Product_114,Accessories,114.72,74
P0115,Product_115,Sports,215.8,149
P0116,Product_116,Home,168.3,93
P0117,Product_117,Sports,210.49,108
P0118,Product_118,Furniture,646.31,331
P0119,Product_119,Accessories,129.96,97
P0120,Product_120,Accessories,144.38,76
P0121,Product_121,Home,311.45,174
P0122,Product_122,Home,81.33,58
P0123,Product_123,Sports,89.02,71
P0124,Product_124,Electronics,478.07,338
P0125,Product_125,Electronics,631.03,327
P0126,Product_126,Accessories,15.36,9
P0127,Product_127,Home,47.97,27
P0128,Product_128,Electronics,302.23,215
P0129,Product_129,Electronics,751.04,423
P0130,Product_130,Electronics,515.89,422
P0131,Product_131,Home,69.01,46
P0132,Product_132,Sports,141.22,83
P0133,Product_133,Sports,206.75,157
P0134,Product_134,Furniture,293.63,158
P0135,Product_135,Home,248.46,179
P0136,Product_136,Accessories,89.53,52
P0137,Product_137,Accessories,73.16,48
P0138,Product_138,Electronics,219.67,131
P0139,Product_139,Furniture,213.47,166
P0140,Product_140,Accessories,24.27,20
P0141,Product_141,Home,121.44,63
P0142,Product_142,Electronics,576.19,407
P0143,Product_143,Electronics,393.42,212
P0144,Product_144,Electronics,293.92,147
P0145,Product_145,Sports,239.6,175
P0146,Product_146,Home,15.53,11
P0147,Product_147,Electronics,690.38,399
P0148,Product_148,Furniture,489.15,248
P0149,Product_149,Sports,150.75,78
P0150,Product_150,Electronics,599.26,374
P0151,Product_151,Furniture,313.97,171
P0152,Product_152,Sports,83.75,64
P0153,Product_153,Sports,330.99,167
P0154,Product_154,Accessories,55.2,28
P0155,Product_155,Furniture,356.7,268
P0156,Product_156,Electronics,570.06,396
P0157,Product_157,Home,131.85,103
P0158,Product_158,Accessories,87.88,62
P0159,Product_159,Accessories,57.44,31
P0160,Product_160,Electronics,689.72,459
P0161,Product_161,Electronics,224.92,177
P0162,Product_162,Electronics,82.53,56
P0163,Product_163,Electronics,942.93,475
P0164,Product_164,Sports,112.45,66
P0165,Product_165,Home,95.04,62
P0166,Product_166,Furniture,354.64,266
P0167,Product_167,Sports,113.37,57
P0168,Product_168,Furniture,566.29,305
P0169,Product_169,Electronics,145.37,102
P0170,Product_170,Accessories,23.87,19
P0171,Product_171,Furniture,377.33,303
P0172,Product_172,Accessories,38.89,30
P0173,Product_173,Home,94.88,57
P0174,Product_174,Sports,221.5,114
P0175,Product_175,Furniture,361.01,226
P0176,Product_176,Home,273.66,146
P0177,Product_177,Accessories,105.86,68
P0178,Product_178,Furniture,461.15,261
