refund_id,order_id,refund_date,refund_amount,refund_reason
R000001,O000004,2026-08-04,197.8,Product Quality
R000002,O000026,2026-07-25,220.1,Changed Mind
R000003,O000036,2025-04-22,1047.77,Wrong Item
R000004,O000055,2026-04-10,476.14,Late Delivery
R000005,O000057,2026-01-21,157.47,Wrong Item
R000006,O000059,2026-06-18,35.9,Late Delivery
R000007,O000064,2026-05-04,22.56,Late Delivery
R000008,O000079,2026-02-17,478.07,Damaged Item
R000009,O000091,2026-04-30,730.92,Damaged Item
R000010,O000096,2026-06-09,81.61,Changed Mind
R000011,O000098,2026-03-12,15.65,Product Quality
R000012,O000143,2026-06-29,83.84,Damaged Item
R000013,O000148,2026-08-17,23.1,Wrong Item
R000014,O000171,2025-12-11,656.98,Wrong Item
R000015,O000175,2025-09-26,1380.59,Changed Mind
R000016,O000185,2026-03-30,149.29,Late Delivery
R000017,O000205,2026-07-15,106.94,Wrong Item
R000018,O000242,2026-06-26,1221.68,Late Delivery
R000019,O000245,2026-06-08,154.81,Changed Mind
R000020,O000246,2026-03-17,741.42,Product Quality
R000021,O000255,2026-08-30,201.08,Changed Mind
R000022,O000267,2025-08-09,210.5,Late Delivery
R000023,O000270,2025-11-12,39.72,Late Delivery
R000024,O000276,2026-05-31,142.51,Damaged Item
R000025,O000298,2026-08-03,96.32,Late Delivery
R000026,O000299,2025-09-20,203.56,Wrong Item
R000027,O000304,2026-06-06,518.1,Late Delivery
R000028,O000312,2026-02-16,136.12,Damaged Item
R000029,O000315,2026-03-10,863.68,Damaged Item
R000030,O000352,2026-02-23,2213.83,Changed Mind
R000031,O000357,2026-03-22,124.23,Product Quality
R000032,O000368,2026-06-23,279.43,Product Quality
R000033,O000379,2026-08-21,300.92,Product Quality
R000034,O000386,2025-06-03,130.82,Changed Mind
R000035,O000387,2026-07-22,248.69,Changed Mind
R000036,O000427,2025-05-08,1105.73,Late Delivery
R000037,O000444,2026-04-19,460.11,Changed Mind
R000038,O000448,2025-12-26,763.07,Late Delivery
R000039,O000456,2025-04-17,111.84,Product Quality
R000040,O000469,2026-06-15,942.89,Changed Mind
R000041,O000476,2026-05-13,128.5,Product Quality
R000042,O000482,2025-06-16,743.46,Product Quality
R000043,O000492,2026-08-08,258.07,Late Delivery
R000044,O000497,2026-05-06,1182.72,Product Quality
R000045,O000526,2026-01-27,80.8,Damaged Item
R000046,O000534,2026-08-16,597.67,Damaged Item
R000047,O000542,2026-02-25,120.16,Product Quality
R000048,O000562,2025-12-17,151.5,Wrong Item
R000049,O000566,2025-05-29,820.57,Changed Mind
R000050,O000572,2026-07-02,174.98,Damaged Item
R000051,O000579,2026-06-22,60.56,Product Quality
R000052,O000595,2025-08-25,88.16,Wrong Item
R000053,O000596,2026-04-20,120.28,Late Delivery
R000054,O000610,2026-08-13,268.37,Changed Mind
R000055,O000632,2026-06-08,731.04,Changed Mind
R000056,O000634,2026-04-24,1674.72,Damaged Item
R000057,O000700,2026-01-07,127.46,Product Quality
R000058,O000741,2026-03-02,2788.72,Late Delivery
R000059,O000748,2025-08-02,966.35,Damaged Item
R000060,O000786,2026-04-21,115.7,Product Quality
R000061,O000792,2025-10-07,529.46,Late Delivery
R000062,O000809,2025-12-22,463.72,Late Delivery
R000063,O000810,2026-08-17,459.76,Wrong Item
R000064,O000820,2026-06-20,471.33,Late Delivery
